Stock,Trendlyne Valuation Score,Trendlyne Durability Score,Trendlyne Momentum Score,Current Price Rs,MCAP Cr,Latest Financial Result,PE Trailing 12M,My Notes
Texmo Pipes & Produc..,68.66667,75.00000,78.97000,52.75,154.0036250,2021-03-31,14.33607009590898837623283408,
Avonmore Capital & M..,68.66667,65.00000,78.74000,39.15,95.0205735,2020-12-31,5.708703038079892679299207489,
Everest Industries L..,68.50000,70.00000,60.73000,374.10,585.2046300,2021-03-31,10.37581760527460970034938298,
Bharat Petroleum Cor..,68.50000,60.00000,60.93000,462.75,100382.1686925,2021-03-31,5.991310366578858850553997146,
Tamboli Capital Ltd.,68.33333,70.00000,61.19000,57.20,56.7424000,2021-03-31,6.050457856762814647608429599,
Sanco Trans Ltd.,68.33333,70.00000,75.52000,359.40,64.6920000,2021-03-31,22.23169333871908579120147024,
Ganges Securities Ltd.,68.16667,65.00000,68.40000,82.25,82.2804325,2021-03-31,8.400932324744805721417934382,
Jindal Saw Ltd.,67.83333,65.00000,72.45000,122.35,3912.1914135,2021-03-31,12.27030165786969110129843560,
Jindal Stainless Ltd.,67.83333,60.00000,71.97000,109.25,5323.0380050,2021-03-31,12.69758251975825197582519758,
Deepak Fertilisers &..,67.66667,65.00000,71.73000,395.45,4060.3659195,2021-03-31,10.14334057436265219179006299,
RDB Realty & Infrast..,67.66667,60.00000,70.62000,32.95,56.9488030,2021-03-31,11.56460913726962912526630189,
Sarda Energy & Miner..,67.66667,65.00000,69.14000,637.85,2299.3982220,2021-03-31,8.855615905760752732211228618,
Lambodhara Textiles ..,67.50000,70.00000,76.81000,95.75,99.3655200,2021-03-31,9.384908674792086292152452083,
Deepak Spinners Ltd.,66.83333,85.00000,81.15000,207.40,149.1123040,2021-03-31,9.504183169530523596173947632,
Tata Steel BSL Ltd.,66.83333,65.00000,60.59000,89.10,9742.5486180,2021-03-31,3.868952373673928515134290859,
Shree Ajit Pulp & Pa..,66.66667,80.00000,67.05000,334.85,179.3690995,2021-03-31,7.474895979852046840151520394,
Indian Metals & Ferr..,66.66667,70.00000,76.68000,621.55,1676.7616505,2021-03-31,10.14790918458027199433395478,
Nitta Gelatin India ..,66.66667,85.00000,65.61000,218.45,198.3351240,2021-03-31,11.40827579147687689506893011,
B&A Ltd.,66.16667,60.00000,63.01000,242.85,75.2835000,2021-03-31,11.16353090277729893577556545,
Nahar Poly Films Ltd.,66.16667,60.00000,73.93000,171.10,420.7006800,2021-03-31,6.718923213035417875006037606,
Jindal Stainless (Hi..,66.16667,70.00000,71.96000,209.10,4933.3945770,2021-03-31,7.111352350674354137184822721,
Sunflag Iron & Steel..,66.00000,70.00000,61.55000,81.70,1472.3924980,2021-03-31,10.47149944950930066533113393,
Cosmo Films Ltd.,65.83333,85.00000,74.14000,1010.35,1836.0787445,2021-03-31,7.749286219677518939866045149,
Master Trust Ltd.,65.83333,65.00000,79.71000,89.70,195.1262040,2020-12-31,8.554793116109619612125489373,
Kalpataru Power Tran..,65.66667,75.00000,63.07000,424.95,6327.8964540,2021-03-31,9.499628129629517856148871546,
Mangalam Drugs and O..,65.50000,75.00000,60.77000,149.15,236.0776030,2021-03-31,8.440110301461613201317143864,
RSWM Ltd.,65.50000,70.00000,67.48000,275.75,649.4133100,2021-03-31,31.17577029308050527924784709,
Nile Ltd.,65.50000,75.00000,63.30000,475.25,142.6652975,2021-03-31,10.35885786426397835505478479,
Shiva Global Agro In..,65.33333,65.00000,69.82000,62.50,62.4562500,2021-03-31,7.869048953038774896097077624,
Cords Cable Industri..,65.16667,60.00000,70.65000,64.85,83.8367830,2021-03-31,19.24937814267989337892630917,
Mangalam Cement Ltd.,65.16667,80.00000,69.83000,362.15,966.7159670,2021-03-31,8.870679141546547734492477865,
Visaka Industries Ltd.,65.16667,80.00000,65.51000,686.80,1131.9150800,2021-03-31,10.23017902813299232736572890,
AMD Industries Ltd.,65.00000,65.00000,72.27000,29.10,55.7750970,2021-03-31,17.96129987964077400240718452,
Jindal Poly Films Ltd.,65.00000,75.00000,65.93000,872.40,3819.9255360,2021-03-31,4.748883721099866292032506447,
Nitin Spinners Ltd.,64.83333,70.00000,75.44000,144.30,811.2546000,2021-03-31,11.77917836353499428183337238,
Universus Photo Imag..,64.66667,65.00000,68.31000,288.15,315.4262790,2021-03-31,9.212386511646643353558062493,
Ajanta Soya Ltd.,64.66667,75.00000,76.23000,116.35,187.2839410,2021-03-31,7.449374982392968455882541252,
Chembond Chemicals L..,64.50000,75.00000,65.48000,222.65,299.4263995,2021-03-31,14.53612682893071167283954244,
Kirloskar Industries..,64.50000,65.00000,68.49000,1706.30,1656.5784180,2021-03-31,10.11549736524581168433316772,
Agarwal Industrial C..,64.33333,90.00000,78.31000,342.60,405.8713680,2021-03-31,8.670992038935943236132676808,
South India Paper Mi..,64.33333,80.00000,62.11000,107.10,160.6500000,2020-12-31,9.389078686791380983565167307,
Rana Sugars Ltd.,64.16667,70.00000,84.61000,33.15,509.0772570,2021-03-31,3.227697244919419540274651233,
Signet Industries Ltd.,64.16667,60.00000,69.29000,53.80,158.3710600,2021-03-31,11.35481038732988890014520650,
Gujarat State Fertil..,64.16667,65.00000,63.66000,116.40,4638.2781000,2021-03-31,10.30534452519718710132083707,
Talbros Automotive C..,64.00000,70.00000,69.41000,291.50,359.8742400,2021-03-31,9.196723757866511526507860438,
Natural Capsules Ltd.,64.00000,75.00000,64.78000,149.75,93.3346825,2021-03-31,13.48183306114585227692180267,
Cochin Minerals & Ru..,63.66667,80.00000,64.54000,142.20,111.3426000,2021-03-31,13.73057370044754718074243587,
Kesar Enterprises Ltd.,63.66667,70.00000,83.27000,115.40,116.3197380,2021-03-31,1.294888824705491338495384069,
CESC Ltd.,63.33333,80.00000,61.20000,761.45,10093.5527650,2021-03-31,7.701357449587942735762476361,
Kama Holdings Ltd.,63.33333,65.00000,74.12000,9817.30,6334.7109980,2021-03-31,10.44828576934815033850049150,
Talbros Engineering ..,63.33333,80.00000,78.71000,240.15,121.9121475,2021-03-31,11.44285244604967860903706598,
Banswara Syntex Ltd.,63.16667,60.00000,62.62000,158.15,270.6895400,2021-03-31,18.65433974371072149772585729,
Godawari Power & Isp..,63.16667,60.00000,72.98000,1304.40,4596.2099280,2021-03-31,6.969795415879421043182381657,
Pondy Oxides & Chemi..,63.00000,60.00000,60.80000,295.10,171.5239240,2021-03-31,15.91455861233246165486602056,
Bajaj Steel Industri..,63.00000,80.00000,78.76000,929.40,483.2880000,2021-03-31,7.307343699582158948170223526,
Megasoft Ltd.,62.83333,60.00000,69.02000,13.70,60.6462010,2021-03-31,32.81751545058209169740813491,
Trigyn Technologies ..,62.83333,60.00000,67.36000,126.70,390.0548190,2021-03-31,6.273705893421274151539459481,
Maral Overseas Ltd.,62.66667,60.00000,74.80000,48.55,201.5213400,2021-03-31,16.08308212144300526716798622,
Prima Plastics Ltd.,62.50000,75.00000,64.91000,126.95,139.6513475,2021-03-31,9.355857157175452353298391043,
Steel City Securitie..,62.50000,65.00000,63.53000,51.45,77.7260295,2021-03-31,7.350399021661175892405587732,
Jay Shree Tea & Indu..,62.50000,60.00000,64.21000,105.40,304.3688500,2021-03-31,12.53735036065698570694478808,
Tata Steel Ltd.,62.33333,75.00000,67.97000,1136.00,127969.2299200,2021-03-31,18.16348608462713528887137917,
DHP India Ltd.,62.00000,75.00000,67.54000,549.05,164.7150000,2021-03-31,7.118839960361137370337730319,
The Peria Karamalai ..,62.00000,65.00000,74.71000,359.05,111.1582895,2021-03-31,9.742864887995721334255565617,
Clariant Chemicals (..,61.50000,70.00000,73.04000,604.85,1396.1026730,2021-03-31,6.352356058772920363499489165,
Tourism Finance Corp..,61.50000,60.00000,64.78000,74.85,604.1644995,2021-03-31,7.482156780423439093144605050,
Duncan Engineering L..,61.50000,80.00000,63.35000,165.55,61.1872800,2021-03-31,7.660475509383446246876002097,
Vindhya Telelinks Ltd.,61.50000,60.00000,71.05000,1266.30,1500.6794670,2021-03-31,5.556446307036506681557574183,
KCP Ltd.,61.16667,75.00000,76.21000,147.10,1896.4308520,2021-03-31,10.76954276665234144209375725,
GTPL Hathway Ltd.,61.00000,85.00000,71.64000,183.60,2064.8206800,2021-03-31,10.97713217041100870039364618,
Ceat Ltd.,61.00000,65.00000,61.94000,1357.45,5490.8988245,2021-03-31,12.70920520209972229714869831,
Archit Organosys Ltd.,61.00000,70.00000,71.70000,47.85,98.1915495,2021-03-31,14.35613413459663313401758739,
Compuage Infocom Ltd.,60.83333,60.00000,77.51000,32.50,211.1713500,2021-03-31,10.21078195739119233657250755,
Bright Brothers Ltd.,60.83333,80.00000,69.43000,145.25,82.5049050,2021-03-31,14.45116897769296663346960379,
Gokul Refoils & Solv..,60.83333,65.00000,65.80000,30.25,299.4598750,2021-03-31,14.63891483297119158347085041,
The Hi-Tech Gears Ltd.,60.66667,75.00000,73.92000,292.30,548.5886400,2021-03-31,19.05549170404859117788754587,
Websol Energy System..,60.66667,75.00000,74.90000,71.15,221.5845795,2021-03-31,3.266418054683924127283336402,
Deccan Cements Ltd.,60.50000,70.00000,64.27000,586.70,821.8200250,2021-03-31,7.138397925472302906545875613,
Emkay Global Financi..,60.50000,65.00000,65.42000,89.70,220.8324300,2021-03-31,19.83618013109127738808148535,
Vibrant Global Capit..,60.50000,60.00000,71.54000,58.00,132.8629200,2021-03-31,3.798742616194039772835191552,
Kkalpana lndustries ..,60.33333,70.00000,67.40000,38.85,365.4732165,2021-03-31,15.33034223953215820439667113,
Salona Cotspin Ltd.,60.33333,70.00000,70.30000,143.50,75.5154400,2020-12-31,18.65176951352025829126395308,
Savita Oil Technolog..,60.33333,70.00000,66.56000,1392.85,1924.9326285,2021-03-31,8.751281340013841456576121257,
Aarvi Encon Ltd.,60.00000,65.00000,61.02000,67.50,99.7920000,2021-03-31,9.540069706109319305426391649,
GEE Ltd.,60.00000,80.00000,66.29000,62.10,146.7168390,2021-03-31,11.58750713723265699112930613,
Ganga Papers India L..,60.00000,80.00000,72.46000,46.45,50.1144405,2021-03-31,12.12192384978731177744721940,
Premco Global Ltd.,60.00000,85.00000,77.60000,487.25,161.0263800,2021-03-31,11.57788584596623843340095912,
