Stock,Trendlyne Valuation Score,Trendlyne Durability Score,Trendlyne Momentum Score,Current Price Rs,MCAP Cr,Latest Financial Result,PE Trailing 12M,My Notes
Allied Digital Servi..,53.00000,70.00000,75.00000,69.55,352.6567525,2021-03-31,19.19536772031893841750683775,
HSIL Ltd.,53.00000,70.00000,76.19000,252.50,1633.6093500,2021-03-31,18.55183971798264723364517568,
RDB Rasayans Ltd.,53.00000,65.00000,62.34000,81.90,145.0842120,2021-03-31,7.633317426705240239792418503,
Rashtriya Chemicals ..,53.00000,60.00000,69.72000,84.10,4639.6969210,2021-03-31,12.36268380488421560167756180,
The Grob Tea Company..,53.00000,60.00000,72.20000,1360.60,158.1425380,2020-12-31,5.844770356713130715200397956,
Ausom Enterprise Ltd.,53.00000,70.00000,65.08000,83.15,113.2802340,2021-03-31,7.361736147939466431279985905,
New Delhi Television..,53.00000,75.00000,66.41000,73.30,472.5746290,2021-03-31,6.664811794080046844625324830,
WPIL Ltd.,53.00000,65.00000,73.73000,995.10,971.9241210,2021-03-31,11.54589443727136785259126489,
KSE Ltd.,52.83333,65.00000,68.61000,3065.10,980.8320000,2021-03-31,8.685286349649039454254247413,
Jullundur Motor Agen..,52.83333,80.00000,77.08000,71.60,163.5422760,2020-12-31,12.34242294173721326707038112,
AYM Syntex Ltd.,52.83333,65.00000,67.28000,76.55,383.0202215,2021-03-31,27.18636242564148095534049543,
Dhabriya Polywood Ltd.,52.83333,65.00000,67.58000,67.15,72.6845030,2021-03-31,16.25616717585711034826689649,
Motilal Oswal Financ..,52.66667,80.00000,60.26000,811.15,11902.0769535,2021-03-31,9.547691433773344408647549469,
Virat Crane Industri..,52.33333,70.00000,64.93000,28.75,58.7184250,2021-03-31,9.681536384055604010008183003,
Datamatics Global Se..,52.33333,75.00000,72.92000,193.35,1139.7847155,2021-03-31,14.19583720931940009647442510,
Dwarikesh Sugar Indu..,52.16667,80.00000,78.95000,78.65,1480.9912975,2021-03-31,16.17886647138202284172069908,
I P Rings Ltd.,52.16667,75.00000,75.54000,137.30,174.0401070,2021-03-31,35.03149773047944419071627038,
Cosco (India) Ltd.,52.00000,70.00000,75.82000,193.40,80.4737400,2021-03-31,17.85132449628158941399842901,
GNA Axles Ltd.,52.00000,70.00000,72.50000,461.25,990.0915750,2021-03-31,14.01933498049754733824118970,
Narmada Gelatines Ltd.,52.00000,60.00000,64.91000,187.85,113.6417360,2021-03-31,13.44961745378730058266162810,
Hisar Metal Industri..,51.66667,65.00000,70.75000,132.70,71.6580000,2021-03-31,13.24546939068844499986025880,
Surya Roshni Ltd.,51.66667,75.00000,61.44000,535.05,2911.1535450,2021-03-31,18.11889898861968564785434715,
DCM Shriram Industri..,51.66667,60.00000,78.47000,453.20,788.4954880,2021-03-31,12.17677605076415180774880375,
Nalwa Sons Investmen..,51.66667,60.00000,65.59000,1715.45,881.0894290,2021-03-31,20.48563903502722442250727408,
Shyam Century Ferrou..,51.50000,65.00000,65.89000,9.70,215.5078100,2020-12-31,14.66586029634109464771696402,
Maan Aluminium Ltd.,51.33333,90.00000,71.15000,339.60,229.5899760,2021-03-31,15.51146025599390503752485328,
Hindustan Adhesives ..,51.33333,60.00000,69.68000,222.05,113.6074415,2021-03-31,12.99309999391451295038455597,
Monarch Networth Cap..,51.33333,70.00000,79.19000,135.50,420.7207250,2021-03-31,17.28239172996103490277857494,
Birla Corporation Ltd.,51.33333,75.00000,66.14000,1226.20,9442.3898860,2021-03-31,14.98550456127863921548402740,
Triton Valves Ltd.,51.16667,60.00000,73.44000,1572.75,161.9932500,2021-03-31,20.76343976430739950772395999,
K P Energy Ltd.,51.16667,65.00000,67.64000,92.85,103.2027750,2021-03-31,17.03185332611825994441947703,
Inventure Growth & S..,51.00000,75.00000,70.38000,3.80,319.2000000,2021-03-31,25.65833896016205266711681296,
NMDC Ltd.,51.00000,60.00000,65.08000,182.95,53615.4331110,2021-03-31,8.541828815120647787645326646,
SKM Egg Products Exp..,51.00000,65.00000,63.11000,89.55,235.7851500,2021-03-31,14.59969447428872342749633581,
Lincoln Pharmaceutic..,50.50000,95.00000,70.11000,347.00,694.0000000,2021-03-31,11.48890972564351138163575587,
Veto Switchgears & C..,50.50000,75.00000,72.27000,150.15,287.0117250,2021-03-31,19.39990154695318828951397529,



