Renaissance Global L..,50.00000,65.00000,68.74000,565.90,1068.3852460,2021-03-31,24.88070758111950433796609558,
Va Tech Wabag Ltd.,50.00000,65.00000,67.28000,367.05,2282.6986320,2021-03-31,20.64614183486011472516247481,
Lakshmi Mills Compan..,49.83333,65.00000,71.58000,3190.85,221.9555260,2021-03-31,60.48493340657832532074065397,
Inventure Growth & S..,49.83333,75.00000,71.32000,4.05,340.2000000,2021-03-31,27.34638757596218771100607698,
Incredible Industrie..,49.83333,60.00000,73.48000,40.40,188.9257520,2021-03-31,52.09475055125014506582764890,
Kaira Can Company Ltd.,49.50000,75.00000,66.80000,1475.00,136.0097500,2021-03-31,23.01115736917103982661911964,
Sundaram Brake Linin..,49.33333,70.00000,63.72000,438.00,172.3354800,2021-03-31,28.71779001525714551723821407,
BNK Capital Markets ..,49.16667,60.00000,64.47000,194.55,194.5500000,2020-12-31,12.53794250140169750401175493,
Veto Switchgears & C..,49.00000,75.00000,73.25000,158.70,303.3550500,2021-03-31,20.50459124543104216813764821,
Phillips Carbon Blac..,48.83333,75.00000,70.23000,233.60,4025.8133440,2021-03-31,12.83709039872464386141437699,
Kilpest India Ltd.,48.83333,80.00000,76.18000,601.30,451.4620530,2021-03-31,4.531923455187281190362114477,
Insecticides (India)..,48.66667,75.00000,63.80000,760.05,1570.8561390,2021-03-31,16.72849934983241787507450295,
Avantel Ltd.,48.50000,60.00000,62.51000,533.10,216.1453950,2021-03-31,14.03484939192850045887718046,
Bal Pharma Ltd.,48.50000,60.00000,62.99000,97.10,143.9255040,2021-03-31,29.81985246697090491428711819,
Bhansali Engineering..,48.50000,75.00000,61.16000,186.35,3091.6508560,2021-03-31,9.259236255860000944059505561,
Geekay Wires Ltd.,48.33333,75.00000,68.77000,93.15,97.3603800,2021-03-31,15.42857142857142857142857143,
KM Sugar Mills Ltd.,48.33333,65.00000,83.54000,37.20,342.2407440,2021-03-31,13.04270082077856509254357209,
Asian Star Company L..,48.16667,80.00000,61.33000,898.00,1432.9655400,2021-03-31,22.49757675043297814052267032,
Krishana Phoschem Ltd.,48.16667,60.00000,66.21000,110.50,275.1450000,2021-03-31,14.72693202687898326860591263,
KRBL Ltd.,48.16667,90.00000,60.04000,295.10,6946.3559490,2021-03-31,12.42870656375534779741081950,
Pricol Ltd.,48.00000,65.00000,77.18000,99.95,1218.2055925,2021-03-31,29.35596047885900915189323183,
Sat Industries Ltd.,47.83333,80.00000,67.97000,24.60,278.1891000,2021-03-31,32.73583775799433111102239610,
TV18 Broadcast Ltd.,47.83333,70.00000,62.94000,42.50,7286.0308500,2021-03-31,15.99379816955684007707129094,
Sangam (India) Ltd.,47.66667,60.00000,64.07000,111.00,481.9797600,2021-03-31,114.4801980198019801980198020,
Polson Ltd.,47.50000,65.00000,67.08000,14651.10,175.8132000,2021-03-31,20.60681225817207275450466609,
Almondz Global Secur..,47.50000,75.00000,77.32000,64.15,166.0522750,2020-12-31,17.22420463912404917825910681,
Vardhman Acrylics Ltd.,47.50000,60.00000,67.99000,48.65,390.9694005,2021-03-31,9.104604702954083971965677605,
Century Extrusions L..,47.50000,70.00000,70.34000,10.30,82.4000000,2021-03-31,37.79816513761467889908256881,
Hindustan Composites..,47.33333,75.00000,63.89000,319.75,472.2387750,2021-03-31,23.93261294733777281120442980,
Eldeco Housing & Ind..,47.33333,65.00000,66.21000,2743.65,539.5662090,2021-03-31,9.951681036662186629864930771,
Transformers & Recti..,47.33333,60.00000,65.67000,32.00,424.2051200,2021-03-31,60.10179741937907330541103995,
Dolat Investments Ltd.,47.33333,65.00000,69.58000,76.70,1349.9200000,2021-03-31,9.201210193069461339321917595,
Indo Amines Ltd.,47.33333,60.00000,68.59000,170.15,601.4598320,2021-03-31,16.02055602580990195589192080,
FIEM Industries Ltd.,47.16667,70.00000,69.13000,784.55,1032.4521090,2021-03-31,22.11310590840317754522680484,
Birla Cable Ltd.,47.16667,65.00000,78.58000,112.20,336.6000000,2021-03-31,41.03681975619301203673563437,
Gulshan Polyols Ltd.,47.00000,75.00000,77.16000,215.15,1009.4192550,2021-03-31,16.16219436250040377315686005,
Coastal Corporation ..,47.00000,65.00000,69.84000,316.70,322.0458960,2021-03-31,18.36692677297098234350850638,
Indian Toners & Deve..,47.00000,65.00000,60.90000,189.05,205.1192500,2021-03-31,15.46376995341646660422809981,
Skipper Ltd.,47.00000,65.00000,72.33000,88.65,910.1713230,2021-03-31,42.46381115698916490233083931,
Heritage Foods Ltd.,46.66667,65.00000,72.48000,500.50,2322.2199000,2021-03-31,15.48653398683103123917025595,
Anjani Portland Ceme..,46.66667,60.00000,74.52000,393.30,994.4865810,2021-03-31,11.70458728756233592969033882,
Gujarat State Petron..,46.66667,75.00000,61.03000,322.40,18190.1755360,2021-03-31,11.32096010450117019539541719,
Sharda Cropchem Ltd.,46.50000,70.00000,61.12000,366.55,3307.0324275,2021-03-31,14.43217057010518888799643438,
Surat Textile Mills ..,46.50000,75.00000,81.87000,10.65,236.4985860,2021-03-31,16.32734408536211442938615319,
Softsol India Ltd.,46.50000,60.00000,76.22000,118.45,199.2625125,2021-03-31,14.76768787503631143177378072,
Udaipur Cement Works..,46.33333,85.00000,72.13000,34.05,1060.3503690,2021-03-31,19.27845908210755172062370486,
Garware Hi-Tech Film..,46.16667,75.00000,77.04000,943.70,2192.4415880,2021-03-31,17.40544033901231088621117298,
TVS Srichakra Ltd.,46.16667,60.00000,67.47000,2112.65,1617.6561050,2021-03-31,21.89244892115972311671209437,
